contract,underlying,dte,dte_label,strike,spot,moneyness,ind_bid,ind_ask,ind_mid,ind_width,true_bid,true_ask,true_width,true_mid,rel_true_width,open_interest,day_volume,day_trades,ask_size,bid_size,iv,delta,cost_usd,probed,predicted_usd,tag,ts
SPY260908C00790000,SPY,8,7-12d,790.0,766.67,1.0304,0.01,0.06,0.035,0.05,0.03,0.04,0.01,0.035,0.28571,204,62,11,545,818,0.0858,0.0106,1.0,True,5.0,afternoon,2026-08-31T18:11:49.415393+00:00
SPY260908C00805000,SPY,8,7-12d,805.0,766.67,1.05,0.01,0.04,0.025,0.03,0.01,0.02,0.01,0.015,0.4,54,12,3,1463,903,0.1272,0.0055,1.0,True,3.0,afternoon,2026-08-31T18:11:58.101178+00:00
SPY260930C00744000,SPY,30,28-45d,744.0,766.67,0.9704,26.91,29.01,27.96,2.1,,,,,,219,2,2,51,58,0.1336,0.8104,0.0,False,210.0,afternoon,2026-08-31T18:12:00.952041+00:00
SPY260930C00759000,SPY,30,28-45d,759.0,766.67,0.99,15.73,15.93,15.83,0.2,15.58,15.78,0.2,15.68,0.01263,718,1,1,37,45,0.1164,0.6572,20.0,True,20.0,afternoon,2026-08-31T18:12:09.023367+00:00
SPY260930C00767000,SPY,30,28-45d,767.0,766.67,1.0004,10.61,10.64,10.625,0.03,10.41,10.44,0.03,10.425,0.00282,336,752,89,163,75,0.1103,0.5371,3.0,True,3.0,afternoon,2026-08-31T18:12:17.175800+00:00
SPY260930C00774000,SPY,30,28-45d,774.0,766.67,1.0096,6.71,6.74,6.725,0.03,6.74,6.77,0.03,6.755,0.00446,492,89,27,195,92,0.1028,0.4169,3.0,True,3.0,afternoon,2026-08-31T18:12:25.850107+00:00
SPY260930C00790000,SPY,30,28-45d,790.0,766.67,1.0304,1.8,1.86,1.83,0.06,1.82,1.84,0.02,1.83,0.01093,7258,333,114,414,432,0.0959,0.1657,2.0,True,6.0,afternoon,2026-08-31T18:12:33.984490+00:00
SPY260930C00805000,SPY,30,28-45d,805.0,766.67,1.05,0.38,0.39,0.385,0.01,0.4,0.41,0.01,0.405,0.02597,4701,109,30,765,760,0.0941,0.0456,1.0,True,1.0,afternoon,2026-08-31T18:12:42.089319+00:00
QQQ260831C00694000,QQQ,0,0DTE,694.0,715.61,0.9698,19.7,22.94,21.32,3.24,,,,,,198,38,26,28,29,,,0.0,False,324.0,afternoon,2026-08-31T18:12:44.698647+00:00
QQQ260831C00708000,QQQ,0,0DTE,708.0,715.61,0.9894,5.93,8.13,7.03,2.2,,,,,,349,1341,175,160,151,,,0.0,False,220.0,afternoon,2026-08-31T18:12:47.332051+00:00
QQQ260831C00716000,QQQ,0,0DTE,716.0,715.61,1.0005,0.42,0.44,0.43,0.02,0.41,0.43,0.02,0.42,0.04651,1548,282002,43516,76,569,,,2.0,True,2.0,afternoon,2026-08-31T18:12:55.156280+00:00
QQQ260831C00723000,QQQ,0,0DTE,723.0,715.61,1.0103,0.01,0.04,0.025,0.03,0.01,0.02,0.01,0.015,0.4,1003,10238,984,1610,20,,,1.0,True,3.0,afternoon,2026-08-31T18:13:03.058430+00:00
QQQ260901C00694000,QQQ,1,1-3d,694.0,715.61,0.9698,20.87,21.88,21.375,1.01,,,,,,21,20,1,19,19,,,0.0,False,101.0,afternoon,2026-08-31T18:13:10.153679+00:00
QQQ260901C00708000,QQQ,1,1-3d,708.0,715.61,0.9894,7.77,8.07,7.92,0.3,7.66,8.17,0.51,7.915,0.06439,633,164,65,322,314,0.1814,0.8663,51.0,True,30.0,afternoon,2026-08-31T18:13:18.555864+00:00
QQQ260901C00716000,QQQ,1,1-3d,716.0,715.61,1.0005,2.029,2.05,2.0395,0.021,2.0,2.03,0.03,2.015,0.01471,518,18117,4704,112,67,0.1541,0.4637,3.0,True,2.1,afternoon,2026-08-31T18:13:26.666344+00:00
QQQ260901C00723000,QQQ,1,1-3d,723.0,715.61,1.0103,0.19,0.24,0.215,0.05,0.21,0.22,0.01,0.215,0.04651,646,2391,529,321,176,0.1458,0.086,1.0,True,5.0,afternoon,2026-08-31T18:13:34.754036+00:00
QQQ260908C00694000,QQQ,8,7-12d,694.0,715.61,0.9698,22.83,23.22,23.025,0.39,22.73,23.31,0.58,23.02,0.02519,11,1,1,19,17,0.176,0.8871,58.0,True,39.0,afternoon,2026-08-31T18:13:47.708391+00:00
QQQ260908C00708000,QQQ,8,7-12d,708.0,715.61,0.9894,11.1,11.17,11.135,0.07,10.98,11.08,0.1,11.03,0.00898,4,926,158,2,5,0.1531,0.6918,10.0,True,7.0,afternoon,2026-08-31T18:13:56.293710+00:00
QQQ260908C00716000,QQQ,8,7-12d,716.0,715.61,1.0005,5.75,5.82,5.785,0.07,5.8,5.86,0.06,5.83,0.01037,25,858,140,10,82,0.1381,0.5013,6.0,True,7.0,afternoon,2026-08-31T18:14:04.691908+00:00
QQQ260908C00723000,QQQ,8,7-12d,723.0,715.61,1.0103,2.71,2.76,2.735,0.05,2.69,2.74,0.05,2.715,0.01828,54,281,64,36,43,0.1316,0.3091,5.0,True,5.0,afternoon,2026-08-31T18:14:13.095153+00:00
QQQ260908C00737000,QQQ,8,7-12d,737.0,715.61,1.0299,0.24,0.3,0.27,0.06,0.26,0.28,0.02,0.27,0.07407,339,46,12,137,355,0.1194,0.0512,2.0,True,6.0,afternoon,2026-08-31T18:14:21.228615+00:00
QQQ260908C00751000,QQQ,8,7-12d,751.0,715.61,1.0495,0.03,0.06,0.045,0.03,0.01,0.04,0.03,0.025,0.66667,73,32,7,1049,1128,0.1367,0.0093,3.0,True,3.0,afternoon,2026-08-31T18:14:29.295828+00:00
QQQ260930C00694000,QQQ,30,28-45d,694.0,715.61,0.9698,29.63,30.14,29.885,0.51,,,,,,45,2,2,10,10,0.1913,0.7374,0.0,False,51.0,afternoon,2026-08-31T18:14:32.197905+00:00
QQQ260930C00708000,QQQ,30,28-45d,708.0,715.61,0.9894,19.27,19.59,19.43,0.32,19.17,19.3,0.13,19.235,0.00669,298,11,7,3,9,0.1744,0.615,13.0,True,32.0,afternoon,2026-08-31T18:14:40.334018+00:00
QQQ260930C00716000,QQQ,30,28-45d,716.0,715.61,1.0005,14.23,14.43,14.33,0.2,14.17,14.29,0.12,14.23,0.00837,228,305,18,25,46,0.1656,0.5278,12.0,True,20.0,afternoon,2026-08-31T18:14:48.392341+00:00
